"BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI","elev","lab","split","yr","lon","lat"
0.0200398,0.0356129,0.3240925,0.199635,0.0247476,0.1019074,0.0447274,0.0047179,1382,1,0,2005,-116.57406,49.2324836
0.0227591,0.0392837,0.2642862,0.2106468,0.0297465,0.1225797,0.0608041,-0.0491123,1316,1,0,2005,-116.5732515,49.2292496
0.0327968,0.055025,0.2156761,0.2478714,0.0485463,0.1599204,0.0949102,0.0205808,1403,1,0,2005,-116.5700176,49.2273632
0.0192568,0.033104,0.3397596,0.1984803,0.02535,0.0978121,0.0446975,-0.0233541,1513,1,1,2005,-116.5786414,49.235448
0.014573,0.0262638,0.3709516,0.1607943,0.0186895,0.0737789,0.0346469,-0.0196761,1405,1,0,2005,-116.5786414,49.2330225
0.0199714,0.0350671,0.3451335,0.2284424,0.024242,0.1112152,0.0507286,-0.0015454,1205,1,1,2005,-116.5775634,49.2297886
0.0232965,0.0404732,0.316994,0.1770144,0.0344274,0.0918014,0.0420983,0.0022373,1333,1,1,2005,-116.572443,49.2289801
0.020808,0.0361039,0.3567949,0.215871,0.0220616,0.1023363,0.043249,-0.0502931,1448,1,1,2005,-116.576216,49.23437
0.0180651,0.0306891,0.1835574,0.1594173,0.0232434,0.1099694,0.0546611,-0.0902652,1371,1,0,2005,-116.572443,49.2300581
0.0211379,0.036789,0.373887,0.1853116,0.0219508,0.0844509,0.0388146,-0.0349248,1327,1,1,2005,-116.5732515,49.2276327
0.0163939,0.0348216,0.2884821,0.1862091,0.026283,0.1028273,0.0486619,-0.0318168,1460,1,0,2005,-116.5783719,49.23437
0.0149841,0.0287637,0.3883201,0.1955789,0.0192153,0.0861701,0.0421764,-0.0132626,1401,1,0,2005,-116.5727125,49.2319446
0.0159476,0.0300695,0.3355123,0.1807847,0.0233299,0.0899499,0.0405292,-0.0360282,1523,1,1,2005,-116.5810669,49.235987
0.0178469,0.0347612,0.3602139,0.241988,0.0221027,0.1138207,0.0498532,-0.0056365,1406,1,0,2005,-116.5764855,49.2335615
0.0278908,0.0453463,0.2707179,0.2483986,0.0433019,0.1425593,0.0801407,-0.0122682,1275,1,0,2005,-116.574599,49.2292496
0.0183528,0.0309875,0.3105964,0.153849,0.0208969,0.0809281,0.0371954,-0.0783087,1269,1,0,2005,-116.574599,49.2287106
0.0189085,0.0316072,0.3726955,0.1730748,0.025258,0.079093,0.0357898,-0.0325828,1438,1,0,2005,-116.5697481,49.2287106
0.0178777,0.0329986,0.3943529,0.1626966,0.0226429,0.0706684,0.0367028,0.0311657,1440,1,0,2005,-116.5697481,49.2284411
0.0193144,0.0380362,0.2863153,0.2096229,0.0292638,0.1163048,0.054112,-0.0054913,1522,1,0,2005,-116.5799889,49.235448
0.0149637,0.0320041,0.3596925,0.2041527,0.0218019,0.0961397,0.0411978,-0.0275564,1454,1,0,2005,-116.5789109,49.233831
0.0182264,0.0347769,0.3973678,0.175471,0.0200429,0.0756741,0.0379202,0.033354,1315,1,0,2005,-116.5732515,49.2287106
0.025254,0.0357979,0.3878641,0.1849281,0.0250065,0.081565,0.0374925,-0.0054746,1304,1,0,2005,-116.573521,49.2281716
0.0168755,0.0326762,0.3051405,0.2166079,0.0224101,0.1153225,0.0532805,-0.0181165,1486,1,0,2005,-116.5783719,49.2346395
0.0209607,0.0400835,0.424044,0.1958604,0.0255618,0.0792159,0.0379202,0.0201238,1404,1,0,2005,-116.5705566,49.2287106
0.0168722,0.030708,0.3437255,0.1883607,0.0220984,0.0919952,0.0416857,-0.0209819,1444,1,0,2005,-116.5764855,49.23437
0.0242392,0.0380793,0.1854977,0.1878436,0.0349574,0.1290589,0.0656101,-0.0468326,1410,1,1,2005,-116.5710956,49.2305971
0.0173098,0.0364456,0.1618012,0.181546,0.0299624,0.1309791,0.0703255,-0.1418938,1418,1,1,2005,-116.5759465,49.233292
0.014858,0.0330665,0.3311697,0.1676373,0.0226432,0.0842274,0.0374178,-0.0550906,1291,1,1,2005,-116.5737905,49.2287106
0.0137427,0.0292652,0.3795487,0.1828643,0.019683,0.0822432,0.0382594,-0.0166801,1436,1,0,2005,-116.5770245,49.2341005
