"point_id","plot","easting_m","northing_m","pi_mpb_killed","pi_mpb_killed_pc","BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI"
102,26,523415.906,5448227.307,47.3668213100947,75.4096132578456,0.02108625,0.03188,0.221879437565804,0.13936375,0.02309375,0.08875,0.04558875,-0.218931645154953
103,26,523447.987,5448203.164,47.3668213100947,75.4096132578456,0.029845,0.04121625,0.0105063933879137,0.14348875,0.03744875,0.140505,0.08285125,-0.435481488704681
104,26,523417.56,5448202.833,47.3668213100947,75.4096132578456,0.02119625,0.032155,0.232221648097038,0.14749,0.0236575,0.09189875,0.0464825,-0.265699654817581
105,27,523501.631,5448316.472,44.8282201597734,77.9482144081669,0.03001,0.0386175,-0.054414127022028,0.11994875,0.03516625,0.13375375,0.08358,-0.526883721351624
106,27,523469.881,5448317.795,44.8282201597734,77.9482144081669,0.0302575,0.04000625,-0.0143831726163626,0.1300275,0.03617,0.1338225,0.0811325,-0.477673292160034
107,27,523501.962,5448293.652,44.8282201597734,77.9482144081669,0.0282225,0.03684375,0.016300855204463,0.12258875,0.0311375,0.11865625,0.07044875,-0.450184792280197
108,27,523471.535,5448293.321,44.8282201597734,77.9482144081669,0.0266,0.03588125,0.0897613391280174,0.1264525,0.02903375,0.10562125,0.06063125,-0.355131417512894
109,28,523500.044,5448375.21,1.17537001725943,95.2830379933792,0.02636625,0.03573,0.107065565884113,0.13108625,0.02891,0.10573125,0.0594625,-0.376574724912643
110,28,523468.294,5448376.533,1.17537001725943,95.2830379933792,0.02284625,0.03112375,0.221945285797119,0.12869375,0.0221725,0.08194375,0.0427425,-0.26447319984436
111,28,523500.374,5448352.389,1.17537001725943,95.2830379933792,0.0290475,0.03727,0.00431987782940269,0.121475,0.0325675,0.12043,0.07187875,-0.487496614456177
112,28,523469.947,5448352.059,1.17537001725943,95.2830379933792,0.02675125,0.03672,0.090387150645256,0.12938125,0.03067,0.10793125,0.06145625,-0.38150829076767
