"year","epoch","start","sensor","index","n_plots","r_m2","r_pc","abs_m2","abs_pc"
2006,2,"2006-05-17","LT05","MSI",25,0.35666294276199,-0.396869710153021,0.35666294276199,0.396869710153021
2005,1,"2005-05-01","LT05","TCW",27,-0.356178450309688,0.404724446529908,0.356178450309688,0.404724446529908
2003,7,"2003-08-05","LT05","TCW",28,-0.355933130848403,0.37734502472935,0.355933130848403,0.37734502472935
2009,7,"2009-08-05","LT05","RGI",28,0.352624768922581,-0.305747984185411,0.352624768922581,0.305747984185411
2014,4,"2014-06-18","LC08","NDMI",28,-0.352083986077446,0.357335546475151,0.352083986077446,0.357335546475151
2014,4,"2014-06-18","LC08","MSI",28,0.352083986077446,-0.357335546475151,0.352083986077446,0.357335546475151
2006,5,"2006-07-04","LT05","NBR",25,-0.351759510911049,0.259906752453487,0.351759510911049,0.259906752453487
2013,5,"2013-07-04","LC08","NBR",28,-0.349509768425311,0.345562389799818,0.349509768425311,0.345562389799818
2007,7,"2007-08-05","LT05","TCW",28,-0.3494276797438,0.370835104626072,0.3494276797438,0.370835104626072
2013,3,"2013-06-02","LC08","NDMI",28,-0.347685270611604,0.364748651244898,0.347685270611604,0.364748651244898
2013,3,"2013-06-02","LC08","MSI",28,0.347685270611604,-0.364748651244898,0.347685270611604,0.364748651244898
2006,6,"2006-07-20","LT05","NBR",28,-0.345354519578927,0.360995801571919,0.345354519578927,0.360995801571919
2009,2,"2009-05-17","LT05","NDMI",28,-0.34528518272006,0.387403208884308,0.34528518272006,0.387403208884308
2009,2,"2009-05-17","LT05","MSI",28,0.34528518272006,-0.387403208884308,0.34528518272006,0.387403208884308
2008,3,"2008-06-01","LT05","NDMI",28,-0.345120680026547,0.380298219175608,0.345120680026547,0.380298219175608
2008,3,"2008-06-01","LT05","MSI",28,0.345120680026547,-0.380298219175608,0.345120680026547,0.380298219175608
2014,7,"2014-08-05","LC08","NDVI",28,-0.345003475962504,0.323866106291897,0.345003475962504,0.323866106291897
2013,6,"2013-07-20","LC08","NBR",28,-0.34475018030548,0.349764188805104,0.34475018030548,0.349764188805104
2006,8,"2006-08-21","LT05","TCW",28,-0.344479009297497,0.381622293195036,0.344479009297497,0.381622293195036
2007,7,"2007-08-05","LT05","NDVI",28,-0.343281603410398,0.322309451833236,0.343281603410398,0.322309451833236
2011,5,"2011-07-04","LT05","NDVI",23,-0.343001002920576,0.307799353646549,0.343001002920576,0.307799353646549
2006,7,"2006-08-05","LT05","NDMI",25,-0.342761866290686,0.395809564426548,0.342761866290686,0.395809564426548
2006,7,"2006-08-05","LT05","MSI",25,0.342761866290686,-0.395809564426548,0.342761866290686,0.395809564426548
2003,4,"2003-06-18","LT05","TCW",28,-0.342109340827952,0.36956489216402,0.342109340827952,0.36956489216402
2020,8,"2020-08-20","LC08","TCW",28,-0.340447814601306,0.294271788716538,0.340447814601306,0.294271788716538
2013,5,"2013-07-04","LC08","NDVI",28,-0.339976767964935,0.298860331015179,0.339976767964935,0.298860331015179
